Model,Dataset,x,y,modality,category
ALIGN,mscoco,2.33,9.71,text,monocycle
ALIGN,mscoco,4.27,9.63,text,monocycle
ALIGN,mscoco,8.82,4.05,text,monocycle
ALIGN,mscoco,5.88,11.94,text,monocycle
ALIGN,mscoco,8.93,10.03,text,monocycle
ALIGN,mscoco,9.51,8.22,text,monocycle
ALIGN,mscoco,9.61,6.37,text,monocycle
ALIGN,mscoco,7.65,11.95,text,monocycle
ALIGN,mscoco,6.14,12.73,text,monocycle
ALIGN,mscoco,7.71,12.82,text,monocycle
ALIGN,mscoco,8.55,6.91,text,monocycle
ALIGN,mscoco,8.10,12.58,text,monocycle
ALIGN,mscoco,9.93,12.60,text,monocycle
ALIGN,mscoco,-1.83,0.43,text,monocycle
ALIGN,mscoco,8.73,7.37,text,monocycle
ALIGN,mscoco,10.43,10.61,text,monocycle
ALIGN,mscoco,4.44,14.11,text,monocycle
ALIGN,mscoco,6.61,1.62,text,monocycle
ALIGN,mscoco,5.87,7.48,text,monocycle
ALIGN,mscoco,9.06,6.77,text,monocycle
ALIGN,mscoco,0.37,1.56,text,monocycle
ALIGN,mscoco,8.06,11.52,text,monocycle
ALIGN,mscoco,8.65,12.12,text,monocycle
ALIGN,mscoco,7.50,13.90,text,monocycle
ALIGN,mscoco,9.80,13.19,text,monocycle
ALIGN,mscoco,9.39,11.93,text,monocycle
ALIGN,mscoco,7.63,0.12,text,monocycle
ALIGN,mscoco,6.91,12.98,text,monocycle
ALIGN,mscoco,5.14,11.18,text,monocycle
ALIGN,mscoco,8.35,7.68,text,monocycle
ALIGN,mscoco,8.08,7.29,text,monocycle
ALIGN,mscoco,7.83,10.56,text,monocycle
ALIGN,mscoco,9.15,6.39,text,monocycle
ALIGN,mscoco,6.05,11.93,text,monocycle
ALIGN,mscoco,9.65,11.18,text,monocycle
ALIGN,mscoco,8.90,13.61,text,monocycle
ALIGN,mscoco,2.30,-15.07,text,wash-hand basin
ALIGN,mscoco,2.00,-17.02,text,wash-hand basin
ALIGN,mscoco,1.31,-15.91,text,wash-hand basin
ALIGN,mscoco,3.97,-17.38,text,wash-hand basin
ALIGN,mscoco,3.11,-14.15,text,wash-hand basin
ALIGN,mscoco,2.35,-16.07,text,wash-hand basin
ALIGN,mscoco,5.57,-16.78,text,wash-hand basin
ALIGN,mscoco,0.46,-17.10,text,wash-hand basin
ALIGN,mscoco,0.99,-14.82,text,wash-hand basin
ALIGN,mscoco,2.83,-13.30,text,wash-hand basin
ALIGN,mscoco,2.87,-15.10,text,wash-hand basin
ALIGN,mscoco,3.21,-15.46,text,wash-hand basin
ALIGN,mscoco,5.70,-14.86,text,wash-hand basin
ALIGN,mscoco,-0.53,-15.21,text,wash-hand basin
ALIGN,mscoco,-0.20,-12.24,text,wash-hand basin
ALIGN,mscoco,0.31,-15.92,text,wash-hand basin
ALIGN,mscoco,0.47,-11.44,text,wash-hand basin
ALIGN,mscoco,0.61,-14.89,text,wash-hand basin
ALIGN,mscoco,4.21,-12.49,text,wash-hand basin
ALIGN,mscoco,4.68,-15.40,text,wash-hand basin
ALIGN,mscoco,2.39,-15.81,text,wash-hand basin
ALIGN,mscoco,3.97,-14.67,text,wash-hand basin
ALIGN,mscoco,0.32,-17.39,text,wash-hand basin
ALIGN,mscoco,1.34,-14.57,text,wash-hand basin
ALIGN,mscoco,5.20,-15.74,text,wash-hand basin
ALIGN,mscoco,1.36,-17.99,text,wash-hand basin
ALIGN,mscoco,0.66,-13.50,text,wash-hand basin
ALIGN,mscoco,1.29,-15.55,text,wash-hand basin
ALIGN,mscoco,2.86,-16.51,text,wash-hand basin
ALIGN,mscoco,6.22,-10.56,text,wash-hand basin
ALIGN,mscoco,5.92,-12.11,text,wash-hand basin
ALIGN,mscoco,4.13,-12.82,text,wash-hand basin
ALIGN,mscoco,2.21,-15.97,text,wash-hand basin
ALIGN,mscoco,5.57,-14.90,text,wash-hand basin
ALIGN,mscoco,2.66,-14.58,text,wash-hand basin
ALIGN,mscoco,2.62,-17.45,text,wash-hand basin
ALIGN,mscoco,2.58,-11.15,text,wash-hand basin
ALIGN,mscoco,1.18,-10.90,text,wash-hand basin
ALIGN,mscoco,0.44,-14.61,text,wash-hand basin
ALIGN,mscoco,4.09,-12.82,text,wash-hand basin
ALIGN,mscoco,2.77,-15.17,text,wash-hand basin
ALIGN,mscoco,2.74,-11.18,text,wash-hand basin
ALIGN,mscoco,0.49,-11.46,text,wash-hand basin
ALIGN,mscoco,3.61,-14.75,text,wash-hand basin
ALIGN,mscoco,3.36,-16.98,text,wash-hand basin
ALIGN,mscoco,3.66,-15.82,text,wash-hand basin
ALIGN,mscoco,5.91,-12.06,text,wash-hand basin
ALIGN,mscoco,1.30,-13.35,text,wash-hand basin
ALIGN,mscoco,1.77,-13.87,text,wash-hand basin
ALIGN,mscoco,4.17,-16.32,text,wash-hand basin
ALIGN,mscoco,-0.80,5.62,text,crash helmet
